,X,Y,LandUse,Latitude,Longitude
45,590706.8910000001,6198553.872,Naturalgrassland,-34.35037151,-56.01371909
46,591012.1728,6189950.203,Naturalgrassland,-34.42792398,-56.00948669
47,591633.5596,6190571.59,Naturalgrassland,-34.42226603,-56.00279139
48,592468.5045,6189842.617000001,Naturalgrassland,-34.42876469,-55.9936275
49,592916.5866,6214998.447000001,Naturalgrassland,-34.20189307,-55.9914682
50,592823.5827,6190197.695,Naturalgrassland,-34.42553113,-55.98980209
51,593453.4957,6214931.333,Naturalgrassland,-34.2024502,-55.98563405
52,593711.0753,6202381.367000001,Naturalgrassland,-34.31559149,-55.98147549
53,594368.3638,6214271.102999999,Naturalgrassland,-34.2083211,-55.97563323
54,594502.591,6214908.682999999,Naturalgrassland,-34.20255976,-55.97424605
55,595101.7981,6200753.925,Naturalgrassland,-34.33013947,-55.96618224
56,595192.3663,6199829.51,Naturalgrassland,-34.33846657,-55.96509547
57,595399.4952,6198823.455,Naturalgrassland,-34.34751905,-55.96273225
58,595456.8762,6202322.187000001,Naturalgrassland,-34.31596587,-55.96249692
59,595640.885,6214892.294,Naturalgrassland,-34.20260361,-55.96189069
60,595724.7771,6214456.056,Naturalgrassland,-34.20652952,-55.96093197
61,595710.1886,6196027.214,Naturalgrassland,-34.3727038,-55.95904286
62,595782.3645,6201819.16,Naturalgrassland,-34.32047163,-55.95890376
63,596890.8114,6214478.905,Naturalgrassland,-34.20621563,-55.94827939
64,596991.0661,6189187.118,Naturalgrassland,-34.43426025,-55.944339500000005
65,597478.6037,6214999.035,Naturalgrassland,-34.20147070000001,-55.94195864
66,597674.3999,6189696.512,Naturalgrassland,-34.42960276,-55.93696131
67,598046.5148,6192314.448,Naturalgrassland,-34.40596225,-55.93321185
68,598078.1881,6191330.301,Naturalgrassland,-34.41483305,-55.93275458
69,598227.2792,6190112.723999999,Naturalgrassland,-34.42579744,-55.93099275
70,598282.767,6193033.151000001,Naturalgrassland,-34.39945945,-55.93072417
71,598282.5756,6192264.751,Naturalgrassland,-34.40638793,-55.9306381
72,598507.8095,6211651.859,Naturalgrassland,-34.23155543,-55.93040789
73,600680.6460000001,6193369.667,Naturalgrassland,-34.39619441,-55.90467993
74,600799.8302,6193592.971,Naturalgrassland,-34.39416934,-55.90340979
75,602705.5608,6193816.2639999995,Naturalgrassland,-34.39196844,-55.88270775
76,608749.493,6193480.62,Naturalgrassland,-34.39437675,-55.81692768
77,610926.0463,6212757.427,Naturalgrassland,-34.22033686,-55.79573803
78,611158.0272,6195156.073,Naturalgrassland,-34.37901417,-55.79094784
79,613603.9775,6196498.1,Naturalgrassland,-34.36664838,-55.76452663
80,615392.2924,6198673.919,Naturalgrassland,-34.34683286,-55.74537471
81,615581.9283,6202576.546,Naturalgrassland,-34.31162462,-55.743837899999995
82,615730.8435,6204981.085,Naturalgrassland,-34.28992797,-55.742543000000005
83,615875.0167,6205895.493,Naturalgrassland,-34.28166729,-55.7410998
84,615949.3592,6198613.147999999,Naturalgrassland,-34.34731858,-55.73931098
85,616453.0531,6205790.1620000005,Naturalgrassland,-34.28255232,-55.73480696
86,616898.7229,6205662.933999999,Naturalgrassland,-34.28364936,-55.72994881
87,617232.3871,6198416.284,Naturalgrassland,-34.34894911,-55.72533709
88,617327.7517,6205574.362000001,Naturalgrassland,-34.28439955,-55.72527656
89,617522.1289,6197981.717,Naturalgrassland,-34.3528344,-55.72212796
90,617940.7845,6205900.533,Naturalgrassland,-34.28138925,-55.71866228
91,617907.0114,6197687.991,Naturalgrassland,-34.35543892,-55.71790355
92,618656.2005,6218109.208,Naturalgrassland,-34.17123066,-55.71256781
93,618996.322,6193336.946,Naturalgrassland,-34.39454358,-55.70545775
94,619262.405,6202094.004,Naturalgrassland,-34.31555859,-55.70377991
95,619398.6414,6197856.512999999,Naturalgrassland,-34.35374858,-55.70171096
96,619527.565,6200718.677,Naturalgrassland,-34.32792817,-55.70070752
97,619611.5356,6204026.746,Naturalgrassland,-34.298092499999996,-55.70025476
98,619659.4657,6200532.464,Naturalgrassland,-34.32959187,-55.69924814
99,619733.485,6197783.2,Naturalgrassland,-34.35437091,-55.69806062
100,620255.6267,6198062.323,Naturalgrassland,-34.35179381,-55.69242342
101,620971.1785,6198018.731000001,Naturalgrassland,-34.3521035,-55.68463866
102,621248.6259,6199661.905,Naturalgrassland,-34.33725617,-55.68185447
103,621649.7899,6198403.791,Naturalgrassland,-34.34855231,-55.67731615
104,621821.9742,6198191.092,Naturalgrassland,-34.35044976,-55.67541428
105,622146.0858,6198474.69,Naturalgrassland,-34.34785467,-55.67193134
106,622649.6158,6223579.297,Naturalgrassland,-34.12144873,-55.670022200000005
107,622767.322,6224863.707,Naturalgrassland,-34.10985427,-55.66892759
108,622634.2839,6198423.221,Naturalgrassland,-34.34826103,-55.66661718
109,622877.3676,6198230.779,Naturalgrassland,-34.34996726,-55.66394727
110,623507.1345,6224992.102000001,Naturalgrassland,-34.10860945,-55.66092653
111,623359.6081,6199559.066000001,Naturalgrassland,-34.33793418,-55.65889581
112,624391.1446,6200678.283,Naturalgrassland,-34.32772009,-55.64784614
113,624883.1828,6202529.464,Naturalgrassland,-34.31097085,-55.64276765
114,625749.182,6204165.913,Naturalgrassland,-34.29611214,-55.63359733
115,626240.2673,6225195.941000001,Naturalgrassland,-34.106445,-55.63133065
116,627127.6346,6205888.658,Naturalgrassland,-34.28041215,-55.61887693
117,627285.9981,6205594.683999999,Naturalgrassland,-34.28304319,-55.61711349
118,627425.4937,6206441.221,Naturalgrassland,-34.27539381,-55.61572348
119,628613.3399,6208021.677999999,Naturalgrassland,-34.26099824,-55.60305846
120,628888.241,6224317.292,Naturalgrassland,-34.11404375,-55.60249903
121,629167.1651,6224596.216,Naturalgrassland,-34.11149451,-55.59951698
122,629151.022,6208815.5370000005,Naturalgrassland,-34.25377425,-55.59733875
123,629283.9171,6209557.541,Naturalgrassland,-34.24706795,-55.59600694
124,629592.2964,6223674.473999999,Naturalgrassland,-34.11975233,-55.59477128
125,629746.7703,6209712.93,Naturalgrassland,-34.24560932,-55.59100515
126,630112.6924,6223087.746,Naturalgrassland,-34.12497758,-55.58904201
127,630169.6307,6223343.44,Naturalgrassland,-34.12266515,-55.58846305
128,630108.2129,6210189.212,Naturalgrassland,-34.24127009,-55.58715285
129,630436.9832,6222084.333,Naturalgrassland,-34.13398387,-55.58537558
130,630330.7318,6211181.323,Naturalgrassland,-34.23229753,-55.58488685
131,630685.1644,6211226.57,Naturalgrassland,-34.23184513,-55.58104635
132,631128.4681,6220710.488,Naturalgrassland,-34.14628374,-55.57767069
133,631094.1089,6211291.811000001,Naturalgrassland,-34.23120547,-55.57661722
134,632183.2303,6210272.957,Naturalgrassland,-34.24025337,-55.56463919
135,632617.0069,6220369.329,Naturalgrassland,-34.14917148,-55.56147705
136,632800.0272,6210024.7,Naturalgrassland,-34.242413,-55.55790516
137,633176.4129,6219703.996,Naturalgrassland,-34.15509875,-55.555308600000004
138,633564.9143,6219285.61,Naturalgrassland,-34.15882117,-55.5510309
139,633804.0484,6209038.115,Naturalgrassland,-34.25117899,-55.54685252
140,634650.3887,6208373.884,Naturalgrassland,-34.25705815,-55.53756003
141,634877.5781,6217799.668,Naturalgrassland,-34.17204911,-55.53656342
142,635387.5839,6218256.562000001,Naturalgrassland,-34.16786378,-55.53110277
143,637869.4061,6220102.942000001,Naturalgrassland,-34.15089236,-55.50447763
144,638179.6732,6206697.317000001,Naturalgrassland,-34.27170986,-55.49897128
145,639166.6319,6204251.624,Naturalgrassland,-34.29362688,-55.48785843
146,640725.3029,6219817.459,Naturalgrassland,-34.15308487,-55.47346187
147,641031.1273,6219148.107999999,Naturalgrassland,-34.15907808,-55.47003659
148,641250.8663,6205917.095,Naturalgrassland,-34.27833067,-55.46549188
149,641690.5433,6205715.057999999,Naturalgrassland,-34.28009219,-55.46068367
150,642168.0138,6217362.017999999,Naturalgrassland,-34.17502606,-55.45741414
151,642238.5373,6216797.83,Naturalgrassland,-34.1801028,-55.45655654
152,642584.5035,6215858.779,Naturalgrassland,-34.1885214,-55.45264903
153,642880.7019,6216465.281,Naturalgrassland,-34.18301302,-55.44953574
154,642771.8121,6206249.597999999,Naturalgrassland,-34.2751251,-55.44902914
155,642951.2253,6215929.302999999,Naturalgrassland,-34.18783536,-55.44868223
156,643001.7932,6214651.26,Naturalgrassland,-34.19935039,-55.44792251
157,643185.1541,6213889.607000001,Naturalgrassland,-34.20619172,-55.44580699
158,643440.6446,6206856.142999999,Naturalgrassland,-34.26956484,-55.44186668
159,643608.2946,6214072.967999999,Naturalgrassland,-34.2044804,-55.44124597
160,643967.3815,6207113.529,Naturalgrassland,-34.26717159,-55.436189799999994
161,644117.7582,6213094.869,Naturalgrassland,-34.21322782,-55.43555500000001
162,644851.2017,6212065.227000001,Naturalgrassland,-34.22240844,-55.42742337
163,645154.4524,6210986.217999999,Naturalgrassland,-34.23209362,-55.42395099
164,646156.0868,6209404.606000001,Naturalgrassland,-34.24621176,-55.41281153
165,647065.0935,6202029.645,Naturalgrassland,-34.312568799999994,-55.40168526
166,647474.8747,6207535.7360000005,Naturalgrassland,-34.26287343,-55.39817565
167,647657.4902,6201846.284,Naturalgrassland,-34.31413761,-55.39521781
168,648187.7918,6199853.278,Naturalgrassland,-34.33202867,-55.38911299
169,648481.3637,6205931.085,Naturalgrassland,-34.27719592,-55.38697102
170,648469.8854,6200657.245,Naturalgrassland,-34.32474065,-55.38618635
171,648907.9198,6205166.578,Naturalgrassland,-34.2840268,-55.38220667
172,649488.9361,6204785.557,Naturalgrassland,-34.28737816,-55.37583042
173,649512.5748,6198298.871,Naturalgrassland,-34.34585104,-55.37444651
174,650020.926,6204859.582,Naturalgrassland,-34.2866341,-55.37006539
175,650486.3806,6204083.824,Naturalgrassland,-34.29356004,-55.36487467
176,650739.293,6197483.426,Naturalgrassland,-34.35302425,-55.360970900000005
177,650977.2937,6196725.941000001,Naturalgrassland,-34.35981807,-55.35825081
178,651325.6093,6204076.772000001,Naturalgrassland,-34.29350159,-55.355757999999994
179,651508.9702,6203399.747,Naturalgrassland,-34.29957805,-55.3536473
180,651950.5169,6197529.908,Naturalgrassland,-34.35242822,-55.34781396
181,652086.0432,6197089.477000001,Naturalgrassland,-34.35637865,-55.34626291
182,653002.8477,6197089.477000001,Naturalgrassland,-34.35624359,-55.33629755
183,653327.5466,6202769.31,Naturalgrassland,-34.3049941,-55.33378102
184,654729.1003,6197430.79,Naturalgrassland,-34.35291031,-55.31759543
185,654838.8141,6202094.613,Naturalgrassland,-34.31085175,-55.31724284
186,654799.6237,6196951.231000001,Naturalgrassland,-34.35722275,-55.31674246
187,655426.6387,6200844.353999999,Naturalgrassland,-34.32203432,-55.31063108
188,655908.6899,6200921.472,Naturalgrassland,-34.32126676,-55.30540755
189,656470.3082,6196335.384,Naturalgrassland,-34.36252313,-55.29847059
190,657025.9441,6198812.847999999,Naturalgrassland,-34.34010618,-55.29288361
191,657402.4899,6199142.217,Naturalgrassland,-34.33707998,-55.2888519
192,657415.3221,6196123.812999999,Naturalgrassland,-34.36428704,-55.28815932
193,657872.2241,6197860.442000001,Naturalgrassland,-34.34856291,-55.28351187
194,658008.9914,6197181.666,Naturalgrassland,-34.35466076,-55.28190058
195,659045.2963,6197234.534,Naturalgrassland,-34.35402555,-55.27064669
196,659817.7466,6197314.98,Naturalgrassland,-34.35318148,-55.26226594
197,578430.6803,6219623.629,Misc,-34.16137662,-56.14910279
198,619571.7701,6194235.587,Misc,-34.38637503,-55.6993243
199,621747.7305,6195764.584,Misc,-34.37233582,-55.67587723
200,622574.6457,6196791.405,Misc,-34.36298046,-55.66703253
201,622944.8458,6197611.797,Misc,-34.35553996,-55.66312515
202,623811.4997,6199969.06,Misc,-34.3341838,-55.65404332
203,624499.204,6201329.768999999,Misc,-34.32183337,-55.64676612
204,658094.6333,6195145.146000001,Misc,-34.37300552,-55.28059467
205,569233.5643,6194263.89,Prairie,-34.39071514,-56.24683778
206,573743.389,6193574.965,Prairie,-34.39661568,-56.19772217
207,574632.1896,6193392.001,Prairie,-34.39820177,-56.18803754
208,575434.2053,6209853.944,Prairie,-34.2496977,-56.18075672
209,576708.1479,6208603.03,Prairie,-34.26088469,-56.16681131
210,577211.6778,6193026.927,Prairie,-34.40130432,-56.15994366
211,578281.3494,6208145.688999999,Prairie,-34.26489145,-56.14968365
212,578468.5611,6219118.115,Prairie,-34.16593233,-56.1486461
213,578549.6659,6220567.142000001,Prairie,-34.15285935,-56.14789751
214,578900.8918,6208477.643999999,Prairie,-34.26185117,-56.14298501
215,579074.3134,6220547.2979999995,Prairie,-34.15299866,-56.14220491
216,579885.8108,6220301.333,Prairie,-34.15515487,-56.13338004
217,586453.1373,6194180.506,Prairie,-34.39017069,-56.05952506
218,586594.819,6202435.437999999,Prairie,-34.31572264,-56.05881635
219,587105.4271,6190714.7360000005,Prairie,-34.421367100000005,-56.05207758
220,587348.3771,6198917.613,Prairie,-34.34738033,-56.05026962
221,588437.6023,6203393.457,Prairie,-34.30692847,-56.03888838
222,590153.8134,6202683.301,Prairie,-34.313184299999996,-56.02016513
223,591755.2826,6203251.7020000005,Prairie,-34.30791852,-56.00282249
224,596767.4295,6189385.906,Prairie,-34.43248882,-55.9467957
225,597991.2184,6190174.846,Prairie,-34.42525974,-55.93356852
226,598096.4032,6193393.454,Prairie,-34.39622838,-55.93279267
227,598282.5756,6192525.66,Prairie,-34.40403538,-55.93066804
228,598897.799,6211206.175,Prairie,-34.23553716,-55.92612304
229,598743.5465,6193890.284,Prairie,-34.39168698,-55.92581062
230,604484.9829,6193592.018999999,Prairie,-34.39381208,-55.86332613
231,607193.9909,6211725.676,Prairie,-34.230031,-55.83611942
232,607882.5621,6211931.132999999,Prairie,-34.22810727,-55.82867014
233,613964.2809,6195963.857000001,Prairie,-34.37142564,-55.76053809
234,616496.4255,6194096.026000001,Prairie,-34.38798432,-55.73275096
235,616558.8427,6198715.075,Prairie,-34.34633118,-55.73269946
236,617963.6699,6216873.938999999,Prairie,-34.18244693,-55.71991198
237,619017.5813,6205665.652000001,Prairie,-34.28338411,-55.70693387
238,619790.671,6205803.8270000005,Prairie,-34.28204939,-55.69855575
239,619817.2734,6194224.006,Prairie,-34.38645104,-55.69665276
240,620254.1997,6205723.451,Prairie,-34.28272049,-55.69350976
241,621680.4976,6220910.665,Prairie,-34.14562333,-55.68015455
242,622113.7207,6196272.437999999,Prairie,-34.36771391,-55.67196995
243,623059.6803,6198392.835,Prairie,-34.34848453,-55.66198867
244,625861.4894,6224983.757999999,Prairie,-34.10840377,-55.63540553
245,627276.7431,6224700.884,Prairie,-34.11078279,-55.62002377
246,631078.6602,6221178.682,Prairie,-34.1420688,-55.57828153
247,631305.2602,6210824.262,Prairie,-34.23539416,-55.57425416
248,632138.8513,6220199.982000001,Prairie,-34.15075894,-55.56663648
249,633295.9518,6219166.071,Prairie,-34.15993331,-55.55392953
250,633941.5029,6218682.657000001,Prairie,-34.16420897,-55.54685351
251,635130.0985,6208192.823,Prairie,-34.25862825,-55.53232304
252,635253.002,6207950.581,Prairie,-34.26079621,-55.53095057
253,637573.7389,6206543.907000001,Prairie,-34.27317335,-55.50552702
254,638948.4685,6220450.737000001,Prairie,-34.14761365,-55.49283188
255,640027.5588,6220561.892999999,Prairie,-34.14646728,-55.48114857
256,640364.7095,6219983.99,Prairie,-34.15163207,-55.47739920000001
257,641190.3648,6219391.779,Prairie,-34.15685973,-55.46834933
258,642745.3537,6206798.319,Prairie,-34.27018191,-55.44940731
259,642918.4438,6215529.312999999,Prairie,-34.1914459,-55.44897183
260,643320.6565,6214848.045,Prairie,-34.19753248,-55.44449542
261,645582.8459,6210195.87,Prairie,-34.23915885,-55.41916797
262,646389.917,6203649.587,Prairie,-34.29806057,-55.4092961
263,647572.8621,6201409.039,Prairie,-34.31809139,-55.39606226
264,581477.3053,6198930.821,Misc,-34.34773976,-56.1140995
265,587782.0361,6215813.214,Misc,-34.1949915,-56.04727513
266,588167.2289999999,6215494.069,Misc,-34.19783681,-56.04306251
267,600759.302,6210235.625,Misc,-34.24410984,-55.90579997
268,632590.3104,6220056.816000001,Misc,-34.15199244,-55.56171879
269,634230.3885,6218460.472999999,Misc,-34.16617498,-55.54368584
270,641582.6694,6218483.34,Misc,-34.16499653,-55.46394656
271,647840.8511,6201070.526000001,Misc,-34.32110487,-55.39309238
272,649326.1982,6198009.2870000005,Misc,-34.34848846,-55.37642182
273,566036.9954,6188834.557999999,Summercrops,-34.43988376,-56.28119062
274,568284.9057,6192427.183999999,Summercrops,-34.40734085,-56.25701068
275,569471.7399,6193604.976,Summercrops,-34.39664095,-56.24419356
276,569595.8094,6199734.165,Summercrops,-34.34136211,-56.24334098
277,570318.5944,6203785.947000001,Summercrops,-34.30477578,-56.23581462
278,570476.3378,6194413.296,Summercrops,-34.389283899999995,-56.23333152
279,570720.3728,6204331.697000001,Summercrops,-34.29982708,-56.23149348
280,571273.2246,6204506.207,Summercrops,-34.29821558,-56.22550066
281,571216.084,6193673.55,Summercrops,-34.39590389,-56.22522346
282,571340.3382,6205512.911,Summercrops,-34.28913285,-56.22485481
283,571575.2359,6206049.82,Summercrops,-34.28427501,-56.22234735
284,571726.2416,6205127.007999999,Summercrops,-34.2925862,-56.22063000000001
285,572192.5489,6193614.37,Summercrops,-34.39636981,-56.21459616
286,572429.1519,6207356.568,Summercrops,-34.27243198,-56.21318027
287,572512.6468,6209930.778,Summercrops,-34.24921275,-56.21248969
288,572595.6067,6208469.36,Summercrops,-34.26238557,-56.21146584
289,572683.071,6211331.038,Summercrops,-34.23657372,-56.21075685
290,572982.4829,6210615.918,Summercrops,-34.24300148,-56.20744547
291,573725.0568,6210524.444,Summercrops,-34.24377398,-56.19937435
292,573863.9938,6210758.276000001,Summercrops,-34.24165549,-56.19788569
293,574936.9839,6209798.188999999,Summercrops,-34.25023644,-56.18615141
294,575283.1662,6193184.872,Summercrops,-34.40002233,-56.18093766
295,575608.6545,6192504.305,Summercrops,-34.40613551,-56.17733668
296,576568.6932,6209366.899,Summercrops,-34.25400672,-56.16839369
297,577353.3096,6208633.166,Summercrops,-34.26056511,-56.15980706
298,578157.2217,6207944.155,Summercrops,-34.26671813,-56.15101357
299,578464.4705,6212297.656,Summercrops,-34.22743702,-56.14807209
300,578514.6556,6211582.15,Summercrops,-34.23388537,-56.14746223
301,578559.7634,6210884.329,Summercrops,-34.24017462,-56.14690901
302,578891.4937,6217521.225,Summercrops,-34.18030062,-56.14391249
303,578955.6039,6210607.034,Summercrops,-34.24264516,-56.142585600000004
304,578853.9143,6193811.057999999,Summercrops,-34.39410957,-56.14215017
305,579027.182,6213639.315,Summercrops,-34.21529591,-56.14208571
306,579139.7074,6197273.789,Summercrops,-34.3628631,-56.13936085
307,579419.7547,6217283.972999999,Summercrops,-34.18239996,-56.1381589
308,579437.7721,6216440.477000001,Summercrops,-34.1900049,-56.13788601
309,579997.813,6198398.204,Summercrops,-34.3526579,-56.13013472
310,581472.1259,6219547.051,Summercrops,-34.161834000000006,-56.11610223
311,582663.3928,6219312.153,Summercrops,-34.16385846,-56.10315706
312,582717.5028,6198761.712,Summercrops,-34.34916635,-56.10060003
313,582747.0926,6199235.15,Summercrops,-34.34489486,-56.10032394
314,583540.8367,6218964.804,Summercrops,-34.16692078,-56.09360494
315,583398.0692,6199619.818,Summercrops,-34.34137399,-56.09328424
316,584847.9717,6200241.205,Summercrops,-34.33565305,-56.07758383
317,585766.3033,6202642.567000001,Summercrops,-34.31392377,-56.06784093
318,585803.4739,6192312.5879999995,Summercrops,-34.40706808,-56.066404500000004
319,585950.1099,6194772.302999999,Summercrops,-34.38487631,-56.065055900000004
320,586016.834,6198444.175,Summercrops,-34.35176086,-56.06469823
321,586365.681,6192253.408,Summercrops,-34.40755487,-56.06028209
322,586549.4512,6199006.382,Summercrops,-34.34664696,-56.05896417
323,586756.5802,6198503.355,Summercrops,-34.35116551,-56.05666156
324,587940.174,6198828.842999999,Summercrops,-34.348130700000006,-56.04382677
325,589325.2977,6202860.84,Summercrops,-34.3116551,-56.02918712
326,589527.5989,6215098.545,Summercrops,-34.20128734,-56.02825844
327,590461.3664,6214618.686000001,Summercrops,-34.20553366,-56.01807436
328,590322.223,6198139.615,Summercrops,-34.35414052,-56.01785758
329,591317.0651,6214568.351,Summercrops,-34.20591285,-56.00878196
330,591742.5356,6197133.56,Summercrops,-34.36308727,-56.00230798
331,592048.6263,6214752.901000001,Summercrops,-34.2041843,-56.00086179
332,592199.1303,6202364.006,Summercrops,-34.31588358,-55.99790439
333,592258.31,6202926.2129999995,Summercrops,-34.31080885,-55.99732154
334,592968.4663,6203133.342,Summercrops,-34.30887774,-55.98962687
335,593829.4346,6203091.522999999,Summercrops,-34.30917729,-55.98026668
336,594082.7471,6196411.882,Summercrops,-34.36938453,-55.97678281
337,595042.6184,6202381.367000001,Summercrops,-34.3154703,-55.96700531
338,595207.1612,6195583.367000001,Summercrops,-34.37675233,-55.96446381
339,598201.6891,6213949.578,Summercrops,-34.21086578,-55.93399226
340,598357.1211,6191829.902000001,Summercrops,-34.41030176,-55.9297772
341,598820.3282,6214327.899,Summercrops,-34.207395899999995,-55.92732101
342,599088.7827,6213707.097999999,Summercrops,-34.21296816,-55.9243363
343,599402.0318,6193902.708,Summercrops,-34.39151186,-55.918649800000004
344,600201.4538,6210504.5879999995,Summercrops,-34.24173854,-55.9118882
345,601251.9232,6193368.991,Summercrops,-34.39614472,-55.89846585
346,603690.9564,6210511.381,Summercrops,-34.24133516,-55.87400199
347,605141.5034,6211557.892999999,Summercrops,-34.23175333,-55.85838037
348,605588.4223,6211396.63,Summercrops,-34.23316213,-55.8535089
349,606148.6913,6211456.717,Summercrops,-34.23256332,-55.847433900000006
350,606205.0413,6193270.973999999,Summercrops,-34.39653153,-55.84457746
351,607293.8594,6193443.4120000005,Summercrops,-34.39486432,-55.83275577
352,608980.4124,6211773.487000001,Summercrops,-34.22941428,-55.81673262
353,609188.7783,6193580.346,Summercrops,-34.39343128,-55.81216236
354,610906.1232,6212548.232999999,Summercrops,-34.22222519,-55.79592745
355,611307.1183,6195715.164,Summercrops,-34.37395717,-55.78939906
356,611950.6937,6213619.154,Summercrops,-34.21245731,-55.78472778
357,612374.9651,6213583.901000001,Summercrops,-34.21272946,-55.78011847
358,612771.7214,6213753.168,Summercrops,-34.21116034,-55.77583443
359,612593.0284,6196752.589,Summercrops,-34.3644643,-55.77555213
360,613812.6738,6214195.363,Summercrops,-34.20706,-55.76459512
361,615069.8045,6195293.816000001,Summercrops,-34.37734453,-55.74842719
362,615338.8446,6202343.591,Summercrops,-34.31375208,-55.74644799
363,615721.9322,6204101.765,Summercrops,-34.29785718,-55.74252166
364,617865.0676,6197988.958,Summercrops,-34.35273013,-55.71840085
365,618474.7049,6192967.257,Summercrops,-34.39793663,-55.71107996
366,619353.9612,6219449.655,Summercrops,-34.15906504,-55.7051833
367,619260.4447,6201886.0,Summercrops,-34.31743421,-55.70377238
368,619358.7449,6202757.794,Summercrops,-34.30956268,-55.70282513
369,619572.0285,6203610.315,Summercrops,-34.30185166,-55.70062613
370,619793.3561,6219814.844,Summercrops,-34.15572199,-55.70046803
371,619786.5413,6198069.146000001,Summercrops,-34.35178666,-55.69752372
372,620228.0934,6219944.583,Summercrops,-34.15450221,-55.69577099999999
373,620062.2595,6205015.129,Summercrops,-34.28912905,-55.695495900000004
374,620124.5269,6205488.687999999,Summercrops,-34.28485216,-55.69488553
375,620188.8404,6204304.3270000005,Summercrops,-34.29552309,-55.69402171
376,620080.6141,6194639.274,Summercrops,-34.38267644,-55.693847
377,620506.0106,6194831.715,Summercrops,-34.38089192,-55.68924795
378,621259.1029,6195641.688999999,Summercrops,-34.37350121,-55.68117291
379,621340.1308,6195337.835,Summercrops,-34.37623126,-55.68024887
380,621877.8008,6221876.995,Summercrops,-34.13688758,-55.67815065
381,622027.3038,6222417.262,Summercrops,-34.13199891,-55.67660551
382,622029.5495,6221326.71,Summercrops,-34.14183139,-55.67642785
383,622236.4175,6221986.572000001,Summercrops,-34.13585767,-55.67427755
384,622310.7635,6223116.779,Summercrops,-34.12565868,-55.67363062
385,621980.6857,6196007.668,Summercrops,-34.37011676,-55.67337878
386,622534.2837,6223009.464,Summercrops,-34.12660006,-55.67119214
387,622813.1755,6196943.317000001,Summercrops,-34.36158256,-55.66446094
388,623582.9405,6197540.897000001,Summercrops,-34.35610322,-55.65617812
389,626406.1795,6204533.232999999,Summercrops,-34.29272061,-55.62651404
